medicine_name,category,indication
Paracetamol,Analgesic,Pain and fever relief
Ibuprofen,NSAID,Pain inflammation and fever
Metformin,Antidiabetic,Type 2 diabetes management
Amlodipine,Antihypertensive,High blood pressure treatment
Atorvastatin,Statin,Cholesterol management
Aspirin,Antiplatelet,Prevention of blood clots
Warfarin,Anticoagulant,Blood thinning therapy
Clopidogrel,Antiplatelet,Stroke and heart attack prevention
Azithromycin,Antibiotic,Bacterial infections
Amoxicillin,Antibiotic,Bacterial infections
